form,deprel,deps,misc,grafo,text,word_join,word_join_start,word_join_end,index_e,sentence,#sentence_original
soterramento,nmod,B=EVENTO_PETRO,"{'end_char': '246919', 'grafo': '#burial', 'start_char': '246907'}",#burial,"A maior parte    petróleo (Óleo e gás) encontrado     bacias sedimentares é formada a partir    degradação térmica    querogênio, como resultado    soterramento progressivo     rochas geradoras (Tissot e Welte, 1984)..", soterramento,148,160,22.0,80,487
rochas,nmod,B=ELEMENTO_PETRO,"{'end_char': '246942', 'grafo': '#source_rock', 'start_char': '246936'}",#source_rock,"A maior parte    petróleo (Óleo e gás) encontrado     bacias sedimentares é formada a partir    degradação térmica    querogênio, como resultado    soterramento progressivo     rochas geradoras (Tissot e Welte, 1984)..", rochas geradoras,177,193,24.0,80,487
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '247062', 'grafo': '#oil', 'start_char': '247054'}",#oil,"Para caracterizar a evolução    processo de transformação    querogênio em petróleo são empregados dois parâmetros: o potencial genético (ou potencial gerador S,), definido como a quantidade de petróleo (óleo e gás) que um querogênio é capaz de gerar, e a taxa de transformação (TT), definida como a relação entre a quantidade de petróleo gerado e o potencial gerador original (Tissot e Welte, 1984, e Espitalié et al. 1985)..", petróleo,75,83,9.0,81,488
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '247137', 'grafo': '#source_rock', 'start_char': '247130'}",#source_rock,"Para caracterizar a evolução    processo de transformação    querogênio em petróleo são empregados dois parâmetros: o potencial genético (ou potencial gerador S,), definido como a quantidade de petróleo (óleo e gás) que um querogênio é capaz de gerar, e a taxa de transformação (TT), definida como a relação entre a quantidade de petróleo gerado e o potencial gerador original (Tissot e Welte, 1984, e Espitalié et al. 1985)..", gerador,151,158,21.0,81,488
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '247181', 'grafo': '#oil', 'start_char': '247173'}",#oil,"Para caracterizar a evolução    processo de transformação    querogênio em petróleo são empregados dois parâmetros: o potencial genético (ou potencial gerador S,), definido como a quantidade de petróleo (óleo e gás) que um querogênio é capaz de gerar, e a taxa de transformação (TT), definida como a relação entre a quantidade de petróleo gerado e o potencial gerador original (Tissot e Welte, 1984, e Espitalié et al. 1985)..", petróleo,194,202,31.0,81,488
óleo,appos,B=FLUIDODATERRA_i,"{'end_char': '247187', 'grafo': '#oil', 'start_char': '247183'}",#oil,"Para caracterizar a evolução    processo de transformação    querogênio em petróleo são empregados dois parâmetros: o potencial genético (ou potencial gerador S,), definido como a quantidade de petróleo (óleo e gás) que um querogênio é capaz de gerar, e a taxa de transformação (TT), definida como a relação entre a quantidade de petróleo gerado e o potencial gerador original (Tissot e Welte, 1984, e Espitalié et al. 1985)..", óleo,204,208,33.0,81,488
gás,conj,B=FLUIDODATERRA_i,"{'end_char': '247193', 'grafo': '#gas', 'start_char': '247190'}",#gas,"Para caracterizar a evolução    processo de transformação    querogênio em petróleo são empregados dois parâmetros: o potencial genético (ou potencial gerador S,), definido como a quantidade de petróleo (óleo e gás) que um querogênio é capaz de gerar, e a taxa de transformação (TT), definida como a relação entre a quantidade de petróleo gerado e o potencial gerador original (Tissot e Welte, 1984, e Espitalié et al. 1985)..", gás,211,214,35.0,81,488
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '247317', 'grafo': '#oil', 'start_char': '247309'}",#oil,"Para caracterizar a evolução    processo de transformação    querogênio em petróleo são empregados dois parâmetros: o potencial genético (ou potencial gerador S,), definido como a quantidade de petróleo (óleo e gás) que um querogênio é capaz de gerar, e a taxa de transformação (TT), definida como a relação entre a quantidade de petróleo gerado e o potencial gerador original (Tissot e Welte, 1984, e Espitalié et al. 1985)..", petróleo,330,338,62.0,81,488
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '247346', 'grafo': '#source_rock', 'start_char': '247339'}",#source_rock,"Para caracterizar a evolução    processo de transformação    querogênio em petróleo são empregados dois parâmetros: o potencial genético (ou potencial gerador S,), definido como a quantidade de petróleo (óleo e gás) que um querogênio é capaz de gerar, e a taxa de transformação (TT), definida como a relação entre a quantidade de petróleo gerado e o potencial gerador original (Tissot e Welte, 1984, e Espitalié et al. 1985)..", gerador,360,367,67.0,81,488
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '247581', 'grafo': '#oil', 'start_char': '247573'}",#oil,"A conversão    querogênio em petróleo é caracterizada      progressivo aumento    taxa de transformação associado   redução    potencial gerador, que passa a ser denominado potencial gerador residual (S,,)..", petróleo,29,37,4.0,82,490
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '247688', 'grafo': '#source_rock', 'start_char': '247681'}",#source_rock,"A conversão    querogênio em petróleo é caracterizada      progressivo aumento    taxa de transformação associado   redução    potencial gerador, que passa a ser denominado potencial gerador residual (S,,)..", gerador,137,144,15.0,82,490
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '247734', 'grafo': '#source_rock', 'start_char': '247727'}",#source_rock,"A conversão    querogênio em petróleo é caracterizada      progressivo aumento    taxa de transformação associado   redução    potencial gerador, que passa a ser denominado potencial gerador residual (S,,)..", gerador,183,190,23.0,82,490
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '247942', 'grafo': '#oil', 'start_char': '247934'}",#oil,"O processo de expulsão    petróleo     rochas geradoras, fator essencial para a formação de acumulações comerciais, é denominado migração primária..", petróleo,26,34,4.0,83,492
rochas,nmod,B=ELEMENTO_PETRO,"{'end_char': '247953', 'grafo': '#source_rock', 'start_char': '247947'}",#source_rock,"O processo de expulsão    petróleo     rochas geradoras, fator essencial para a formação de acumulações comerciais, é denominado migração primária..", rochas geradoras,39,55,5.0,83,492
migração,xcomp,B=EVENTO_PETRO,"{'end_char': '248045', 'grafo': '#hydrocarbon_migration', 'start_char': '248037'}",#hydrocarbon_migration,"O processo de expulsão    petróleo     rochas geradoras, fator essencial para a formação de acumulações comerciais, é denominado migração primária..", migração,129,137,19.0,83,492
rochas,nmod,B=ELEMENTO_PETRO,"{'end_char': '248152', 'grafo': '#source_rock', 'start_char': '248146'}",#source_rock,"Atualmente, existe consenso de que é controlado basicamente      aumento de pressão     rochas geradoras em resposta   progressiva compactação e   expansão volumétrica ocasionada      formação    petróleo (Tissot e Welte, 1984, e Durand, 1988)..", rochas geradoras,88,104,12.0,84,493
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '248262', 'grafo': '#oil', 'start_char': '248254'}",#oil,"Atualmente, existe consenso de que é controlado basicamente      aumento de pressão     rochas geradoras em resposta   progressiva compactação e   expansão volumétrica ocasionada      formação    petróleo (Tissot e Welte, 1984, e Durand, 1988)..", petróleo,196,204,23.0,84,493
migração,nmod,B=EVENTO_PETRO,"{'end_char': '248339', 'grafo': '#hydrocarbon_migration', 'start_char': '248331'}",#hydrocarbon_migration,"A evolução    processo de migração primária é caracterizada      parâmetro eficiência de expulsão (EE), definido como a relação entre a quantidade de petróleo expulsa    rocha geradora e a quantidade total de petróleo gerado (Lafargue et al. 1994)..", migração,26,34,4.0,85,494
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '248463', 'grafo': '#oil', 'start_char': '248455'}",#oil,"A evolução    processo de migração primária é caracterizada      parâmetro eficiência de expulsão (EE), definido como a relação entre a quantidade de petróleo expulsa    rocha geradora e a quantidade total de petróleo gerado (Lafargue et al. 1994)..", petróleo,150,158,24.0,85,494
rocha,nmod,B=ELEMENTO_PETRO,"{'end_char': '248480', 'grafo': '#source_rock', 'start_char': '248475'}",#source_rock,"A evolução    processo de migração primária é caracterizada      parâmetro eficiência de expulsão (EE), definido como a relação entre a quantidade de petróleo expulsa    rocha geradora e a quantidade total de petróleo gerado (Lafargue et al. 1994)..", rocha geradora,170,184,26.0,85,494
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '248522', 'grafo': '#oil', 'start_char': '248514'}",#oil,"A evolução    processo de migração primária é caracterizada      parâmetro eficiência de expulsão (EE), definido como a relação entre a quantidade de petróleo expulsa    rocha geradora e a quantidade total de petróleo gerado (Lafargue et al. 1994)..", petróleo,209,217,33.0,85,494
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '249050', 'grafo': '#source_rock', 'start_char': '249043'}",#source_rock,"O método de séries naturais permite determinar a evolução    taxa de transformação e    eficiência de expulsão com base    monitoração     variações    potencial gerador e    quantidade de petróleo medidas em amostras de uma mesma seção geradora, situadas a diferentes profundidades..", gerador,162,169,21.0,86,497
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '249078', 'grafo': '#oil', 'start_char': '249070'}",#oil,"O método de séries naturais permite determinar a evolução    taxa de transformação e    eficiência de expulsão com base    monitoração     variações    potencial gerador e    quantidade de petróleo medidas em amostras de uma mesma seção geradora, situadas a diferentes profundidades..", petróleo,189,197,25.0,86,497
geradora,amod,B=ELEMENTO_PETRO,"{'end_char': '249126', 'grafo': '#source_rock', 'start_char': '249118'}",#source_rock,"O método de séries naturais permite determinar a evolução    taxa de transformação e    eficiência de expulsão com base    monitoração     variações    potencial gerador e    quantidade de petróleo medidas em amostras de uma mesma seção geradora, situadas a diferentes profundidades..", geradora,237,245,33.0,86,497
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '249404', 'grafo': '#source_rock', 'start_char': '249397'}",#source_rock,"Para determinar o potencial gerador e a quantidade de petróleo,            normalmente a técnica    pirólise Rock-Eval (Espitalié et al. 1985), que simula o processo de degradação térmica    querogênio..", gerador,28,35,4.0,87,499
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '249431', 'grafo': '#oil', 'start_char': '249423'}",#oil,"Para determinar o potencial gerador e a quantidade de petróleo,            normalmente a técnica    pirólise Rock-Eval (Espitalié et al. 1985), que simula o processo de degradação térmica    querogênio..", petróleo,54,62,9.0,87,499
hidrocarbonetos,obj,B=FLUIDODATERRA_i,"{'end_char': '249934', 'grafo': '#hydrocarbon', 'start_char': '249919'}",#hydrocarbon,"primeiros oito minutos, sob temperaturas de 300 °C,            detector de ionização de chama para vaporizar e quantificar os hidrocarbonetos (HCs) livres    amostra de rocha..", hidrocarbonetos,126,141,20.0,88,501
rocha,nmod,B=ROCHA,"{'end_char': '249967', 'grafo': '#rock', 'start_char': '249962'}",#rock,"primeiros oito minutos, sob temperaturas de 300 °C,            detector de ionização de chama para vaporizar e quantificar os hidrocarbonetos (HCs) livres    amostra de rocha..", rocha,169,174,27.0,88,501
hidrocarbonetos,nsubj:pass,B=FLUIDODATERRA_i,"{'end_char': '249992', 'grafo': '#hydrocarbon', 'start_char': '249977'}",#hydrocarbon,"Estes hidrocarbonetos são representados,    registro de pirólise,      pico S,, cuja área é proporcional   quantidade de hidrocarbonetos expressa em mgHC/g Rocha (fig. 1)..", hidrocarbonetos,6,21,1.0,89,502
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '250107', 'grafo': '#hydrocarbon', 'start_char': '250092'}",#hydrocarbon,"Estes hidrocarbonetos são representados,    registro de pirólise,      pico S,, cuja área é proporcional   quantidade de hidrocarbonetos expressa em mgHC/g Rocha (fig. 1)..", hidrocarbonetos,121,136,19.0,89,502
geração,conj,B=EVENTO_PETRO,"{'end_char': '250439', 'grafo': '#hydrocarbon_generation', 'start_char': '250432'}",#hydrocarbon_generation,"Em seguida, sob temperaturas de 300 °C a 600 °C, ocorre a degradação    querogênio e a geração de hidrocarbonetos, quantificados      mesmo detector de ionização de chama..", geração,87,94,19.0,90,506
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '250458', 'grafo': '#hydrocarbon', 'start_char': '250443'}",#hydrocarbon,"Em seguida, sob temperaturas de 300 °C a 600 °C, ocorre a degradação    querogênio e a geração de hidrocarbonetos, quantificados      mesmo detector de ionização de chama..", hidrocarbonetos,98,113,21.0,90,506
hidrocarbonetos,nsubj,B=FLUIDODATERRA_i,"{'end_char': '250540', 'grafo': '#hydrocarbon', 'start_char': '250525'}",#hydrocarbon,"Estes hidrocarbonetos, representados      pico S, e expressos em mgHC/gRocha, constituem o potencial gerador    amostra analisada (fig. 1)..", hidrocarbonetos,6,21,1.0,91,507
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '250627', 'grafo': '#source_rock', 'start_char': '250620'}",#source_rock,"Estes hidrocarbonetos, representados      pico S, e expressos em mgHC/gRocha, constituem o potencial gerador    amostra analisada (fig. 1)..", gerador,101,108,16.0,91,507
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '250692', 'grafo': '#hydrocarbon', 'start_char': '250677'}",#hydrocarbon,"A quantidade de hidrocarbonetos gerados      degradação térmica    querogênio também pode ser representada em relação    teor de carbono orgânico (COT),               o índice de hidrogênio (IH): Este parâmetro, expresso em mgHC/gCOT, além de indicar o potencial para geração de hidrocarbonetos, serve para caracterizar o tipo de matéria orgânica e o paleoambiente deposicional (Espitalié et al. 1985)..", hidrocarbonetos,16,31,3.0,92,508
geração,obl,B=EVENTO_PETRO,"{'end_char': '250936', 'grafo': '#hydrocarbon_generation', 'start_char': '250929'}",#hydrocarbon_generation,"A quantidade de hidrocarbonetos gerados      degradação térmica    querogênio também pode ser representada em relação    teor de carbono orgânico (COT),               o índice de hidrogênio (IH): Este parâmetro, expresso em mgHC/gCOT, além de indicar o potencial para geração de hidrocarbonetos, serve para caracterizar o tipo de matéria orgânica e o paleoambiente deposicional (Espitalié et al. 1985)..", geração,268,275,43.0,92,508
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '250955', 'grafo': '#hydrocarbon', 'start_char': '250940'}",#hydrocarbon,"A quantidade de hidrocarbonetos gerados      degradação térmica    querogênio também pode ser representada em relação    teor de carbono orgânico (COT),               o índice de hidrogênio (IH): Este parâmetro, expresso em mgHC/gCOT, além de indicar o potencial para geração de hidrocarbonetos, serve para caracterizar o tipo de matéria orgânica e o paleoambiente deposicional (Espitalié et al. 1985)..", hidrocarbonetos,279,294,45.0,92,508
geração,nmod,B=EVENTO_PETRO,"{'end_char': '251113', 'grafo': '#hydrocarbon_generation', 'start_char': '251106'}",#hydrocarbon_generation,"A temperatura em que ocorre o máximo de geração de hidrocarbonetos, denominada Tmax, é um parâmetro indicativo    estágio de evolução térmica    rocha analisada (fig. 1)..", geração,40,47,8.0,93,509
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '251132', 'grafo': '#hydrocarbon', 'start_char': '251117'}",#hydrocarbon,"A temperatura em que ocorre o máximo de geração de hidrocarbonetos, denominada Tmax, é um parâmetro indicativo    estágio de evolução térmica    rocha analisada (fig. 1)..", hidrocarbonetos,51,66,10.0,93,509
rocha,nmod,B=ROCHA,"{'end_char': '251216', 'grafo': '#rock', 'start_char': '251211'}",#rock,"A temperatura em que ocorre o máximo de geração de hidrocarbonetos, denominada Tmax, é um parâmetro indicativo    estágio de evolução térmica    rocha analisada (fig. 1)..", rocha,145,150,23.0,93,509
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '251744', 'grafo': '#oil', 'start_char': '251736'}",#oil,"A conversão    querogênio em petróleo ocasiona progressiva redução    potencial gerador, que passa a ser chamado de residual (S,,, fig. 2b)..", petróleo,29,37,4.0,94,513
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '251794', 'grafo': '#source_rock', 'start_char': '251787'}",#source_rock,"A conversão    querogênio em petróleo ocasiona progressiva redução    potencial gerador, que passa a ser chamado de residual (S,,, fig. 2b)..", gerador,80,87,9.0,94,513
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '251880', 'grafo': '#source_rock', 'start_char': '251873'}",#source_rock,"A redução    potencial gerador original é acompanhada por um aumento    quantidade de hidrocarbonetos livres (S,)    rocha geradora, cujo valor equivale   diferença entre os potenciais geradores original e residual (figs. 3a e b)..", gerador,23,30,3.0,95,514
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '251951', 'grafo': '#hydrocarbon', 'start_char': '251936'}",#hydrocarbon,"A redução    potencial gerador original é acompanhada por um aumento    quantidade de hidrocarbonetos livres (S,)    rocha geradora, cujo valor equivale   diferença entre os potenciais geradores original e residual (figs. 3a e b)..", hidrocarbonetos,86,101,12.0,95,514
rocha,obl,B=ELEMENTO_PETRO,"{'end_char': '251972', 'grafo': '#source_rock', 'start_char': '251967'}",#source_rock,"A redução    potencial gerador original é acompanhada por um aumento    quantidade de hidrocarbonetos livres (S,)    rocha geradora, cujo valor equivale   diferença entre os potenciais geradores original e residual (figs. 3a e b)..", rocha geradora,117,131,18.0,95,514
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '252162', 'grafo': '#oil', 'start_char': '252154'}",#oil,A taxa de transformação (TT) corresponde   razão entre a quantidade de petróleo gerado e o potencial gerador original.., petróleo,71,79,13.0,96,515
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '252191', 'grafo': '#source_rock', 'start_char': '252184'}",#source_rock,A taxa de transformação (TT) corresponde   razão entre a quantidade de petróleo gerado e o potencial gerador original.., gerador,101,108,18.0,96,515
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '252262', 'grafo': '#oil', 'start_char': '252254'}",#oil,"Caso não tenha ocorrido expulsão, a quantidade de petróleo gerado pode ser representada diretamente      valor de S,: TT= SL S20 ou      diferença entre o potencial gerador original e o potencial residual (fig. 3b): TT-820 -S2r", petróleo,50,58,9.0,97,516
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '252376', 'grafo': '#source_rock', 'start_char': '252369'}",#source_rock,"Caso não tenha ocorrido expulsão, a quantidade de petróleo gerado pode ser representada diretamente      valor de S,: TT= SL S20 ou      diferença entre o potencial gerador original e o potencial residual (fig. 3b): TT-820 -S2r", gerador,165,172,28.0,97,516
geração,nsubj,B=EVENTO_PETRO,"{'end_char': '253749', 'grafo': '#hydrocarbon_generation', 'start_char': '253742'}",#hydrocarbon_generation,"casos em que ocorre significativa depleção     teores de carbono durante o craqueamento de querogênio, para se calcular a taxa de transformação é necessário corrigir o índice de hidrogênio residual (IH,), utilizando o valor de carbono orgânico original (COTo),    fórmula proposta por Espitalié et al. (1985): Durante a fase em que ocorre apenas geração de petróleo, sem expulsão, a taxa de transformação calculada com base     potenciais original e residual (equação 3) é igual    valor    índice de produção (equação 5)..", geração,346,353,63.0,98,527
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '253761', 'grafo': '#oil', 'start_char': '253753'}",#oil,"casos em que ocorre significativa depleção     teores de carbono durante o craqueamento de querogênio, para se calcular a taxa de transformação é necessário corrigir o índice de hidrogênio residual (IH,), utilizando o valor de carbono orgânico original (COTo),    fórmula proposta por Espitalié et al. (1985): Durante a fase em que ocorre apenas geração de petróleo, sem expulsão, a taxa de transformação calculada com base     potenciais original e residual (equação 3) é igual    valor    índice de produção (equação 5)..", petróleo,357,365,65.0,98,527
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '253984', 'grafo': '#hydrocarbon', 'start_char': '253969'}",#hydrocarbon,"A partir    início    expulsão, a quantidade de hidrocarbonetos livres    rocha geradora (S,) diminui (fig. 30)..", hidrocarbonetos,48,63,8.0,99,528
rocha,nmod,B=ELEMENTO_PETRO,"{'end_char': '254000', 'grafo': '#source_rock', 'start_char': '253995'}",#source_rock,"A partir    início    expulsão, a quantidade de hidrocarbonetos livres    rocha geradora (S,) diminui (fig. 30)..", rocha geradora,74,88,10.0,99,528
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '254321', 'grafo': '#oil', 'start_char': '254313'}",#oil,"A redução    valor    S, também se presta   determinação    eficiência    processo de expulsão (EE), definida como a relação entre a quantidade de petróleo expulso e o total de petróleo gerado..", petróleo,147,155,25.0,100,530
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '254351', 'grafo': '#oil', 'start_char': '254343'}",#oil,"A redução    valor    S, também se presta   determinação    eficiência    processo de expulsão (EE), definida como a relação entre a quantidade de petróleo expulso e o total de petróleo gerado..", petróleo,177,185,31.0,100,530
petróleo,nsubj,B=FLUIDODATERRA_i,"{'end_char': '254372', 'grafo': '#oil', 'start_char': '254364'}",#oil,"O petróleo expulso corresponde   diferença entre a quantidade total de petróleo gerado (S5,-S>,) e a retida    rocha geradora (S,; fig. 3c)..", petróleo,2,10,1.0,101,531
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '254441', 'grafo': '#oil', 'start_char': '254433'}",#oil,"O petróleo expulso corresponde   diferença entre a quantidade total de petróleo gerado (S5,-S>,) e a retida    rocha geradora (S,; fig. 3c)..", petróleo,71,79,10.0,101,531
rocha,obl,B=ELEMENTO_PETRO,"{'end_char': '254478', 'grafo': '#source_rock', 'start_char': '254473'}",#source_rock,"O petróleo expulso corresponde   diferença entre a quantidade total de petróleo gerado (S5,-S>,) e a retida    rocha geradora (S,; fig. 3c)..", rocha geradora,111,125,21.0,101,531
rocha,obl,B=ELEMENTO_PETRO,"{'end_char': '254682', 'grafo': '#source_rock', 'start_char': '254677'}",#source_rock,"Portanto, a eficiência de expulsão pode ser calculada a partir    relação:    figura 4,               o comportamento teórico     parâmetros e relações discutidos para uma rocha geradora hipotética    longo    processo de soterramento..", rocha geradora,172,186,25.0,102,532
soterramento,nmod,B=EVENTO_PETRO,"{'end_char': '254739', 'grafo': '#burial', 'start_char': '254727'}",#burial,"Portanto, a eficiência de expulsão pode ser calculada a partir    relação:    figura 4,               o comportamento teórico     parâmetros e relações discutidos para uma rocha geradora hipotética    longo    processo de soterramento..", soterramento,222,234,31.0,102,532
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '254762', 'grafo': '#source_rock', 'start_char': '254755'}",#source_rock,"O potencial gerador (S,) permanece aproximadamente constante    estágio inicial    soterramento (estágio imaturo; de O m a 2000m de profundidade; fig. 4a), representando o potencial gerador original..", gerador,12,19,2.0,103,533
soterramento,nmod,B=EVENTO_PETRO,"{'end_char': '254838', 'grafo': '#burial', 'start_char': '254826'}",#burial,"O potencial gerador (S,) permanece aproximadamente constante    estágio inicial    soterramento (estágio imaturo; de O m a 2000m de profundidade; fig. 4a), representando o potencial gerador original..", soterramento,83,95,12.0,103,533
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '254932', 'grafo': '#source_rock', 'start_char': '254925'}",#source_rock,"O potencial gerador (S,) permanece aproximadamente constante    estágio inicial    soterramento (estágio imaturo; de O m a 2000m de profundidade; fig. 4a), representando o potencial gerador original..", gerador,182,189,32.0,103,533
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '254993', 'grafo': '#source_rock', 'start_char': '254986'}",#source_rock,"A partir de 2 100m, o valor    potencial gerador (S,) diminui e a quantidade de hidrocarbonetos livres (S,) aumenta..", gerador,41,48,9.0,104,534
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '255040', 'grafo': '#hydrocarbon', 'start_char': '255025'}",#hydrocarbon,"A partir de 2 100m, o valor    potencial gerador (S,) diminui e a quantidade de hidrocarbonetos livres (S,) aumenta..", hidrocarbonetos,80,95,19.0,104,534
geração,nmod,B=EVENTO_PETRO,"{'end_char': '255339', 'grafo': '#hydrocarbon_generation', 'start_char': '255332'}",#hydrocarbon_generation,"fase inicial    geração de hidrocarbonetos, as curvas de TT e IP apresentam a mesma configuração (de 2 100 m a 2 900 m; fig. 4a), pois a quantidade de hidrocarbonetos gerados é equivalente   depleção    potencial gerador original..", geração,16,23,2.0,105,537
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '255358', 'grafo': '#hydrocarbon', 'start_char': '255343'}",#hydrocarbon,"fase inicial    geração de hidrocarbonetos, as curvas de TT e IP apresentam a mesma configuração (de 2 100 m a 2 900 m; fig. 4a), pois a quantidade de hidrocarbonetos gerados é equivalente   depleção    potencial gerador original..", hidrocarbonetos,27,42,4.0,105,537
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '255482', 'grafo': '#hydrocarbon', 'start_char': '255467'}",#hydrocarbon,"fase inicial    geração de hidrocarbonetos, as curvas de TT e IP apresentam a mesma configuração (de 2 100 m a 2 900 m; fig. 4a), pois a quantidade de hidrocarbonetos gerados é equivalente   depleção    potencial gerador original..", hidrocarbonetos,151,166,34.0,105,537
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '255536', 'grafo': '#source_rock', 'start_char': '255529'}",#source_rock,"fase inicial    geração de hidrocarbonetos, as curvas de TT e IP apresentam a mesma configuração (de 2 100 m a 2 900 m; fig. 4a), pois a quantidade de hidrocarbonetos gerados é equivalente   depleção    potencial gerador original..", gerador,213,220,40.0,105,537
gerador,amod,B=ELEMENTO_PETRO,"{'end_char': '255606', 'grafo': '#source_rock', 'start_char': '255599'}",#source_rock,"A profundidades ainda maiores, embora o potencial gerador continue sendo convertido em petróleo, a quantidade de hidrocarbonetos livres tende a se estabilizar ou mesmo diminuir, como reflexo    processo de migração primária..", gerador,50,57,8.0,106,538
petróleo,obl,B=FLUIDODATERRA_i,"{'end_char': '255644', 'grafo': '#oil', 'start_char': '255636'}",#oil,"A profundidades ainda maiores, embora o potencial gerador continue sendo convertido em petróleo, a quantidade de hidrocarbonetos livres tende a se estabilizar ou mesmo diminuir, como reflexo    processo de migração primária..", petróleo,87,95,13.0,106,538
hidrocarbonetos,nmod,B=FLUIDODATERRA_i,"{'end_char': '255677', 'grafo': '#hydrocarbon', 'start_char': '255662'}",#hydrocarbon,"A profundidades ainda maiores, embora o potencial gerador continue sendo convertido em petróleo, a quantidade de hidrocarbonetos livres tende a se estabilizar ou mesmo diminuir, como reflexo    processo de migração primária..", hidrocarbonetos,113,128,18.0,106,538
migração,nmod,B=EVENTO_PETRO,"{'end_char': '255763', 'grafo': '#hydrocarbon_migration', 'start_char': '255755'}",#hydrocarbon_migration,"A profundidades ainda maiores, embora o potencial gerador continue sendo convertido em petróleo, a quantidade de hidrocarbonetos livres tende a se estabilizar ou mesmo diminuir, como reflexo    processo de migração primária..", migração,206,214,32.0,106,538
geração,nmod,B=EVENTO_PETRO,"{'end_char': '256033', 'grafo': '#hydrocarbon_generation', 'start_char': '256026'}",#hydrocarbon_generation,"As profundidades que delimitam as zonas de geração e geração/expulsão de petróleo podem ser transferidas para seções geológicas e mapas de contorno estrutural    rocha geradora, permitindo a delimitação     “cozinhas” de geração e expulsão de petróleo (figs..", geração,43,50,7.0,107,540
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '256064', 'grafo': '#oil', 'start_char': '256056'}",#oil,"As profundidades que delimitam as zonas de geração e geração/expulsão de petróleo podem ser transferidas para seções geológicas e mapas de contorno estrutural    rocha geradora, permitindo a delimitação     “cozinhas” de geração e expulsão de petróleo (figs..", petróleo,73,81,13.0,107,540
rocha,nmod,B=ELEMENTO_PETRO,"{'end_char': '256150', 'grafo': '#source_rock', 'start_char': '256145'}",#source_rock,"As profundidades que delimitam as zonas de geração e geração/expulsão de petróleo podem ser transferidas para seções geológicas e mapas de contorno estrutural    rocha geradora, permitindo a delimitação     “cozinhas” de geração e expulsão de petróleo (figs..", rocha geradora,162,176,25.0,107,540
geração,nmod,B=EVENTO_PETRO,"{'end_char': '256211', 'grafo': '#hydrocarbon_generation', 'start_char': '256204'}",#hydrocarbon_generation,"As profundidades que delimitam as zonas de geração e geração/expulsão de petróleo podem ser transferidas para seções geológicas e mapas de contorno estrutural    rocha geradora, permitindo a delimitação     “cozinhas” de geração e expulsão de petróleo (figs..", geração,221,228,35.0,107,540
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '256234', 'grafo': '#oil', 'start_char': '256226'}",#oil,"As profundidades que delimitam as zonas de geração e geração/expulsão de petróleo podem ser transferidas para seções geológicas e mapas de contorno estrutural    rocha geradora, permitindo a delimitação     “cozinhas” de geração e expulsão de petróleo (figs..", petróleo,243,251,39.0,107,540
